BIL_ID|MENU_NAME|REM|MF_TABLE|TF_TABLE|MENUID|MOD_NAME|BIL_TYPE
PU|MonBZA|应付帐款冻结作业|MF_DJ|TF_DJ|UBZA|MON|NULL
PV|MonBZB|应付帐款取消冻结作业|MF_DJ|TF_DJ|UBZB|MON|NULL
PW|InvDY|国外INVOICE PackList|MF_IPW|TF_IPW|NULL|INV|SA
PX|InvCRB|产品配销发货作业|MF_PX|TF_PX|TCRB|INV|SA
PY|InvIKA|批次开票作业[已立帐]|MF_PCLZ|TF_PCLZ|TCGL|INV|SA
PZ|InvICA|批次立帐开票作业|MF_PCLZ|TF_PCLZ|TCGK|INV|SA
Q2|MrpAGP|生产退料申请单|MF_QL|TF_QL|WEX2|MRP|MO
Q3|MrpAGQ|生产补料申请单|MF_QL|TF_QL|WEX3|MRP|MO
Q4|MrpAGR|托工领料申请单|MF_QL|TF_QL|WEX4|MRP|MO
Q5|MrpAGS|托工退料申请单|MF_QL|TF_QL|WEX5|MRP|MO
Q6|MrpAGT|托工补料申请单|MF_QL|TF_QL|WEX6|MRP|MO
QA|CRMQA|客户问题处理|MF_QA|TF_QA|NULL||
QB|InvABD|客户询价单|MF_QTS|TF_QTS|TAP|INV|SA
QC|InvAB|报价单|MF_QTS|TF_QTS|TAA|INV|SA
QD|OthAB|报价单(印刷业)|MF_NCQ_QT|TF_NCQ_QT1|OTHAWB|INV|SA
QE|OthAC|受订单(印刷业)|MF_NCQ_SO|TF_NCQ_SO|OTHAWC|INV|SA
QF|MrpBY|齐套分析|MF_QTFX|TF_QTFX|WAS|MRP|MO
QG|InvAQD|请购汇总单|MF_QGHZ|TF_QGHZ|TAWA|SOPO|PC
QH|InvFT|存货检验单|MF_QC|TF_QC|TFCF|MNU|MO
QI|OthMCAD|中文订单(印刷业)|MF_ZD_MC|TF_ZDLJ_MC|OTHAWD|OTH|SA
QJ|FixQJ|固定资产检验单|MF_QC|TF_QC|XDCBA|FIX|PC
QK|InvFS|出货检验单|MF_QC|TF_QC|TFCE|MNU|SA
QL|MrpAGO|生产领料申请单|MF_QL|TF_QL|WEX1|MRP|MO
QM|MrpFM|制成品检验单|MF_QC|TF_QC|WQCD|MNU|MO
QN|MrpFU|退料检验单|MF_QC|TF_QC|WQCO|MNU|MO
QO|PosEC|要货单|||VEC|POS|
QP|InvFI|进货检验单|MF_QC|TF_QC|TFCC|MNU|PC
QQ|OthAMB|制令生产日报表|MF_SC_ZG|TF_SC_ZG|OTHAMD|OTH|
QR|MrpFV|领料检验单|MF_QC|TF_QC|WQCN|MNU|MO
QS|InvAC|询价单|MF_QTS|TF_QTS|TAC|INV|PC
QT|MrpFO|托工检验单|MF_QC|TF_QC|WQCE|MNU|MO
QU|MTNQC|维修产品检测|MF_MTNQC|TF_MTNQC|NULL|MTN|NULL
QX|MrpFEH|巡检记录单|MF_QC_XJ|TF_QC_XJ|WQOBC|MNU|MO
QY|MrpFEC|首件检验单|MF_QC_SJ|TF_QC_SJ|WQOAC|MNU|MO
QZ|MrpFL|制程检验单|MF_QC|TF_QC|WQCC|MNU|MO
R0|MonCA|应收收票|MF_CHK|TF_CHK|UCA|MON|
R1|MonCA|应收托收|MF_CHK|TF_CHK|UCA|MON|NULL
R2|MonCA|应收兑现|MF_CHK|TF_CHK|UCA|MON|NULL
R3|MonCA|应收退票|MF_CHK|TF_CHK|UCA|MON|NULL
R4|MonCA|应收作废|MF_CHK|TF_CHK|UCA|MON|NULL
R5|MonCA|应收还票|MF_CHK|TF_CHK|UCA|MON|NULL
R6|MonCA|应收质押|MF_CHK|TF_CHK|UCA|MON|NULL
R7|MonCA|应收撤票|MF_CHK|TF_CHK|UCA|MON|NULL
R8|MonCA|应收贴现|MF_CHK|TF_CHK|UCA|MON|NULL
R9|MonCA|应收转付|MF_CHK|TF_CHK|UCA|MON|NULL
RA|MonCA|应收呆帐|MF_CHK|TF_CHK|UCA|MON|
RB|OTH00415|气立维修结案单|MF_RO|TF_RO1|NULL|OTH|
RC|PosEB|配货单|||VEB|POS|
RD|SgtHD|信用状押汇作业|MF_LCR|TF_LCR|CHD|SGT|
RE|TRDCD|遠期信用狀贖單作業|MF_LCR|TF_LCR||SGT|
RF|OthGGEC6|XRF检验单|XRF_GGEC||RFMFZ|OTH|
RG|DRPRG|返利单|MF_RG|TF_RG|NULL|DRP|
RJ|MojAN|自制模具入库单|MF_RK_M|TF_RK_M|EBKA|MOJ|MO
RL|SgtFD|即期信用状赎单作业|MF_LCR|TF_LCR|CFD|SGT|
RM|MrpAM|请制单|MF_RM|TF_RM|WAJ1|MNU|MO
RN|MrpAMA|自制品独立转单|MF_RM|TF_RM|WAB8|MNU|MO
RO|OTH00407|气立维修/退休单|MF_RO|TF_RO|NULL|OTH|
RP|MrpALC|采购商品转单|MF_SCPO|TF_SCPO|WAB7|MNU|MO
RQ|PosEE|返货单|||VEE|POS|
RR|MTNRR|维修退件单|MF_RCV|TF_RCV|NULL|MTN|MO
RS|SebAG|自制设备入库单|MF_RK_S|TF_RK_S|DAMA|SEB|MO
RT|MonAA|收款单|TF_MON|TC_MON|UAA|MON|BX
RV|MTNRV|维修收件单|MF_RCV|TF_RCV|NULL|MTN|MO
RW|MrpERW|批次生产日报|MF_RW|TF_RW2|NULL|MRP|MO
S0|SebAEA|设备完修单[内修]|MF_RX_S|TF_RX_S|DADA|SEB|MO
S1|SvsBA|领/退料单|MF_MAT|TF_MAT|BCA|MTN|
S2|SvsAA|修理单录入|MF_INP|TF_INP|BBA|MTN|
S3|SvsEA|派工单|MF_PG|TF_PG|BFA|SGT|
S4|SebACA|设备维修计划[内修]|MF_WJ_S|TF_WJ_S|DABA|SEB|MO
S5|SgtKA|三角转单|||CFGA|SGT|
S7|MojAL|模具请购单|MF_SQ_FX|TF_SQ_FX|EBI|MOJ|MO
S8|SebAO|设备请购单|MF_SQ_FX|TF_SQ_FX|DAK|SEB|MO
S9|FixAF|固定资产请购单|MF_SQ_FX|TF_SQ_FX|XBJ|FIX|PC
SA|InvCA|销货单|MF_PSS|TF_PSS|TCA|INV|SA
SB|InvCB|销货退回|MF_PSS|TF_PSS|TCB|INV|SA
SC|SgtBE|余料结转申请|MF_LC_SGT|TF_LC_SGT|CBFA|SGT|NULL
SD|InvCC|销货折让|MF_PSS|TF_PSS|TCC|INV|SA
SE|ATTN07|业务月奖金|MF_SM|TF_SM|NULL|WAG|
SF|InvBUB|收料计划分析|MF_SF|TF_SF|TBQ|INV|PC
SG|SebAA|设备购入单|MF_GR_S|TF_GR_S|DAAA|SEB|MO
SH|InvTRDC|装船通知单|MF_SHIP|TF_SHIP|TGC|INV|NULL
SI|SebADB|设备维修单[委外]|MF_WX_S|TF_WX_S|DACB|SEB|MO
SJ|WagFI|业务员奖金核发作业|MF_SJ|TF_SJ|YFD|WAG|
SK|SebAH|设备启用单|MF_QY_S|TF_QY_S|DAFA|SEB|MO
SL|InvBU|收料计划单|MF_SL_NX|TF_SL_NX|TBP|INV|PC
SM|SgtAB|合同耗料表|MF_BOM_SGT|TF_BOM_SGT|CAE|SGT|NULL
SN|SebADA|设备维修单[内修]|MF_WX_S|TF_WX_S|DACA|SEB|MO
SO|InvAD|受订单|MF_POS|TF_POS|TAE|SOPO|SA
SP|MrpAL|缺料表|MF_SCPO|TF_SCPO|WAI1|MNU|MO
SQ|InvAQ|请购单|MF_SQ|TF_SQ|TAH|SOPO|PC
SR|InvAE|受订退回|MF_POS|TF_POS|TAF|SOPO|SA
SS|MrpALA|缺料调拨维护|MF_SCPO1|TF_SCPO1|WAI4|MNU|MO
ST|PosBD|订货销售|||VBD|POS|
SU|PosBB|销售退回单|||VBB|POS|
SV|WagDB|薪资切制凭证作业|MF_SV|TF_SV|YDB|WAG|NULL
SW|MrpAGC|非生产领料申请单|MF_SQD|TF_SQD|WEI0|MNU|MO
SX|SebAF|设备停用单|MF_ST_S|TF_ST_S|DAEA|SEB|MO
SY|SebAEB|设备完修单[委外]|MF_RX_S|TF_RX_S|DADB|SEB|MO
SZ|SebACB|设备维修计划单[委外]|MF_WJ_S|TF_WJ_S|DABB|SEB|MO
T0|FixT0|固定资产入库单|MF_TI|TF_TI|XDAA|FIX|PC
T1|InvGE|配送退回送检|MF_TI|TF_TI|TFAF|INV|SA
T2|InvGB|出货送检|MF_TI|TF_TI|TFAB|INV|SA
T3|InvGC|存货送检|MF_TI|TF_TI|TFAC|INV|MO
T4|InvGD|销货退回送检|MF_TI|TF_TI|TFAD|INV|SA
T5|MrpBL|制程送检|MF_TI|TF_TI|WQA1|MNU|MO
T6|MrpBLA|制成品送检|MF_TI|TF_TI|WQA2|MNU|MO
T7|MrpBLB|托工送检|MF_TI|TF_TI|WQA3|MNU|MO
T8|MrpBLC|退料送检|MF_TI|TF_TI|WQA4|MNU|MO
T9|MrpBLD|领料送检|MF_TI|TF_TI|WQA5|MNU|MO
TA|InvFR|销货退回验收单|MF_TY|TF_TY|TFBF|MNU|SA
TB|MrpBF|托外加工缴回单|MF_TB|TF_TB|WDB|MRP|MO
TC|MrpBR|托工退回单|MF_TC|TF_TC|WDC|MRP|MO
TD|INVTRAD|贸易资料|TRAD_MTH|||SGT|PC
TE|MrpBX|切割试算单|MF_TE|TF_TE|WEB2|MNU|MO
TF|MrpHSC|期初托工单|MF_TW|TF_TW|WETC|MRP|
TG|WagDV|退休提拨切制凭证作业|MF_TG|TF_TG|YGC|WAG|
TH|InvFQ|存货验收单|MF_TY|TF_TY|TFBE|MNU|MO
TI|InvGA|进货送检|MF_TI|TF_TI|TFAA|INV|PC
TJ|DrpTJ|DRP调价单|MF_TJ|TF_TJ||INV|MO
TK|InvFP|出货验收单|MF_TY|TF_TY|TFBB|MNU|SA
TL|WAGDR|退休金提拨单|MF_TX|TF_TX|YGA|WAG|NULL
TM|MrpBU|退料验收单|MF_TY|TF_TY|WQB4|MNU|MO
TN|MrpBB|领料验收单|MF_TY|TF_TY|WQB5|MNU|MO
TO|MrpBK|托外缴回验收单|MF_TY|TF_TY|WQB3|MNU|MO
TP|MrpBN|生产缴库验收单|MF_TY|TF_TY|WQB2|MNU|MO
TQ|MrpBO|制程生产验收单|MF_TY|TF_TY|WQB1|MNU|MO
TR|MrpER|异常通知单|TZERR|TZERR|WEH1|MNU|MO
TS|WagBC|人员调薪作业|MF_TS|TF_TS1|YBC|WAG|
TT|DRPTT|DRP批次调价单|MF_TT|TF_TT|NULL|INV|MO
TU|PosAFB|礼券发售单|POSTK0|POSTK1|VAFB|POS|
TV|MrpHSB|期初生产通知单|MF_TZ|TF_TZ|WETB|MRP|MO
TW|MrpBE|托外加工单|MF_TW|TF_TW|WDA|MNU|MO
TX|MonCC45|批次贴现|MF_TCHK|TF_TCHK|UCCD|MON|NULL
TY|InvFB|进货验收单|MF_TY|TF_TY|TFBA|MNU|PC
TZ|MrpEE|生产通知单|MF_TZ|TF_TZ|WEC1|MNU|MO
U1|SgtAGE1|托工转受订|MF_ZD|TF_ZD|CFGBK|SGT|
U2|SgtAGF1|销货转托工缴回|MF_ZD|TF_ZD|CFGBL|SGT|
U3|SgtAGG1|托工领/补料转进货|MF_ZD|TF_ZD|CFGBM|SGT|
U4|SgtAGH1|进货退回转托工退料|MF_ZD|TF_ZD|CFGBN|SGT|
UA|FixPD|固定资产盘点单|MF_PD|TF_PD|XBO|FIX|
UB|MrpFC|模具还回单|MF_MU|TF_MU|WFC|MRP|MO
UC|PRECUST|售前客户|PRE_CUST||PRECUST||
UF|MrpFD|模具报废单|MF_MU|TF_MU|WFD|MRP|
UG|SebBBD|设备保养记录单|MF_BYJL|TF_BYJL|DANDA|SEB|MO
UH|SebBBE|设备异常报告单|MF_SBYCBG|TF_SBYCBG|DAOA|SEB|MO
UJ|OTH00098|佣金单输入|||NULL|OTH|
UL|MrpFB|模具领用单|MF_MU|TF_MU|WFB|MRP|MO
V5|INVV5|洗护开卡作业|MF_WPE|TF_WPE||INV|SA
VA|AccAA|审核凭证|VHED|VDTL|SAC|ACC|NULL
VB|WagBMB|请假登录单|MF_VC||YBMB|WAG|
VC|MngBDB|请假登录单|MF_VC||YBMB|MNG|
VD|AccAB|抵销凭证|VHED|VDTL|SAB|ACC|
VF|AccAB|现金付款|VHED|VDTL|SAB|ACC|
VG|AccAB|更正凭证|VHED|VDTL|SAB|ACC|
VH|AccAB|一般凭证|VHED|VDTL|SAB|ACC|NULL
VI|MrpEL|制程生产中间入库|MF_MV||WEE4|MNU|MO
VK|AccAOA|开帐凭证|VHED|VDTL|SAA|ACC|NULL
VS|AccAB|现金收款|VHED|VDTL|SAB|ACC|
VT|AccAB|调整凭证|VHED|VDTL|SAB|ACC|
VZ|AccAB|转帐凭证|VHED|VDTL|SAB|ACC|
W0|MngCA|每日出勤登录|TF_KQ||ZCA|MNG|
W1|WagCB|薪资调整异动登录|TF_SZTZ||YCB|WAG|
W2|MngBA|考勤异动资料登录|TF_KQTZ||ZBA|MNG|
W3|WagBB|员工薪资结构设置|||YBB|WAG|NULL
W4|MngAC|电脑卡号建立|||ZAC|MNG|
W5|WagAH|员工眷保资料|||YAH|WAG|NULL
W6|MngCL|外出假单输入|||ZCB|MNG|
W7|WagCD|奖惩异动输入|||YCD|WAG|NULL
W8|WagBMB|员工请假单登录|||YBMB|WAG|
W9|MngWagPj|员工请假单批次作业|||ZBDF|MNG|
WA|WagBA|人事基本资料|MF_YG||YBA|WAG|
WB|WagAA|员工薪资结构|||YAA|WAG|
WI|InvDBC|WI 盘点单|MF_WI|TF_WI|TDBE|INV|MO
WJ|WagPJ|批次请假单|MF_PJ|TF_PJ|YBMJ|WAG|
WK|MrpBL|非生产性送检来源单|||WQA1|MRP|
WL|DRPWL|物流提单|MF_WL|TF_WL||INV|
WM|MrpEW|手工维护制令单作业|MF_WM|TF_WM|WED9|MNU|MO
WP|WagBBB|制程数量输入|MF_WPQTY|TF_WPQTY|YCCC|WAG|MO
WQ|WagCCD|订单数量核发|MF_WQ|TF_WQ|YCCF|WAG|
WR|MrpEG|生产日报表|MF_WR|TF_WR|WEG1|MRP|MO
WS|MrpAGE|报废申请单|MF_SQD|TF_SQD|WEI5|MNU|MO
WT|MrpBEA|批次托工单|MF_WT||WDD|MRP|MO
WW|INVWW|POS交班|MF_POSJB|||INV|
WX|MrpAGF|非生产退料申请单|MF_SQD|TF_SQD|WEI6|MNU|MO
WY|WagBA|人事基本资料设置|||ZAH|WAG|
X1|CardMng|忘打卡|TF_SKTZ|||MNG|
X2|CardMng|未打卡|TF_SKTZ|||MNG|
XA|InvXA|生产领料[存货]|MF_IJ|TF_IJ|TDEE|INV|MO
XB|MrpAGA|非生产领料|MF_IJ|TF_IJ|WEI1|MRP|MO
XC|InvXC|成品缴库[存货]|MF_IJ|TF_IJ|TDEG|INV|MO
XD|InvXB|生产退料[存货]|MF_IJ|TF_IJ|TDEF|INV|MO
XE|MrpAGG|非生产退料|MF_IJ|TF_IJ|WEI2|MRP|MO
XF|MrpAGH|报废单[入废品仓]|MF_IJ|TF_IJ|WEI3|MRP|MO
XG|InvDEB|月初标准成本调整单|MF_IJ|TF_IJ|TDEK|INV|MO
XH|DrpXH|期初调整单|MF_IJ|TF_IJ|NULL|INV|MO
XI|InvXI|入库单|||NULL|INV|
XJ|InvDEE|库存报废单|MF_IJ|TF_IJ|TDEP|INV|MO
XK|INVXK|非生产补料单|MF_IJ|TF_IJ|NULL|INV|MO
XL|SYSXPMB|选配模板|||||
XM|SebCA|设备维修领料单|MF_IJ|TF_IJ|DAPA|SEB|MO
XN|SebCB|设备维修退料单|MF_IJ|TF_IJ|DAPB|SEB|MO
XO|OthMFDJ|模具变更作业|MF_BG_MOD||||
XP|InvXP|其它支出|||TBK|INV|
XQ|InvAFA|采购需求分析|MF_XQ|TF_XQ|TAM|SOPO|
XR|InvXR|其它收入|||TCL|INV|
XS|FixXS|其它收入|||XBD|FIX|
XT|FixXT|其它支出|||XBE|FIX|
XY|InvJC|协议信用单据|MY_XY|NULL|NULL|INV|SA
XZ|SYSSZ|信用调整|CUST_XYTZ||T|SYS|
Y1|OthNJFSA|工程预算清单|MF_GCYS.DB|TF_GCYS.DB|OTHBSA|OTH|
Y2|OthNJFSB|工程预算调整单|MF_YSTZ.DB|TF_YSTZ.DB|OTHBSB|OTH|
Y3|OthDFNA|科目预算调整单|MF_ABGT|TF_ABGT|OTHBPB|OTH|
Y4|OthSHFJE|报价单(上海通用风机)|MF_FJBJ|TF_FJBJ|OTHDSE|OTH|
YA|OTHBPG|气立异常处理单|YA_EXCEP||NULL|OTH|
YB|InvIH|验收退回单|MF_TY|TF_TY|TFD|INV|PC
YC|DRPYC|一般要货申请|MF_DYH|TF_DYH||INV|SA
YD|OTHBPI|气立客户诉愿单|YD_COMP|T|NULL|OTH|
YE|OTH00393|气立特采单|YA_YP||NULL|OTH|
YF|AccAB|银行付款|VHED|VDTL|SAB|ACC|
YG|DrpYG|客户预定单|MF_YD|TF_YD||INV|SA
YH|DrpYH|分销要货申请单|MF_DYH|TF_DYH||INV|SA
YI|DrpYI|分销退货申请|MF_DYH|TF_DYH||INV|SA
YJ|FixYJ|固定资产验收退回单|MF_TY|TF_TY|XDF|FIX|PC
YK|MrpBJ|托工验收退回单|MF_TY|TF_TY|WQI|MNU|MO
YN|DRPYN|新品要货申请|MF_DYH|TF_DYH|NULL|INV|
YO|MrpBHO|制程验收退回|MF_TY|TF_TY|WQS|MNU|MO
YP|MrpBH|制成品验收退回单|MF_TY|TF_TY|WQQ|MNU|MO
YQ|MrpEO|异常请购申请单|MF_YQ|TF_YQ|WEH9|MNU|PC
YR|DrpYR|要货退回申请单|MF_DYH|TF_DYH|NULL|DRP|
YS|AccAB|银行收款|VHED|VDTL|SAB|ACC|
YT|MngBC|人员调班作业|MF_YT|TF_YT|ZBC|MNG|
YU|InvCAI|销售预测单|MF_YU|TF_YU|TCWA|INV|SA
YX|INVCBA|销货退回申请单|MF_DYH|TF_DYH|TCBA|INV|SA
YZ|MrpFER|验证记录单|MF_YZ_QC||WQOCE|MRP|MO
Z0|SgtAGI1|销货转入库|MF_ZD|TF_ZD|CFGBO|SGT|
Z1|SgtAGA1|受订转采购|MF_ZD|TF_ZD|CFGBA|SGT|
Z2|SgtAGB1|采购转受订|MF_ZD|TF_ZD|CFGBB|SGT|
Z3|SgtAGC1|销货转进货|MF_ZD|TF_ZD|CFGBC|SGT|
Z4|SgtAGD1|进货转销货|MF_ZD|TF_ZD|CFGBD|SGT|
Z5|SgtAGA2|受订转采购再转受订|MF_ZD|TF_ZD|CFGBE|SGT|
Z6|SgtAGB2|采购转受订再转采购|MF_ZD|TF_ZD|CFGBF|SGT|
Z7|SgtAGC2|销货转进货再转销货|MF_ZD|TF_ZD|CFGBG|SGT|
Z8|SgtAGD2|进货转销货再转进货|MF_ZD|TF_ZD|CFGBH|SGT|
Z9|SgtAGJ1|验退转销退|MF_ZD|TF_ZD|CFGBP|SGT|
ZA|TRDBC|销售确认单|MF_ZA|TF_ZA||SGT|
ZB|InvBLB|暂估回冲|MF_ZG|TF_ZG|TBT|INV|NULL
ZC|TaxCA|进项凭证输入|MF_METH|MF_METH|AAAA|TAX|
ZD|TaxDD|零税率清单输入|MF_ZERO|TF_ZERO|ACE|TAX|
ZE|TaxBA|销项凭证输入|MF_SALE|MF_SALE|ABA|TAX|
ZF|MTNZF|故障配方|MF_FBOM|TF_FBOM|NULL|MTN|MO
ZG|InvBL|暂估单|MF_ZG|TF_ZG|TBM|INV|PC
ZH|MrpZY|制程不合格转移单|MF_ZY|TF_ZY|WECA|MRP|MO
ZI|MTNZI|安装配方|MF_IBOM|TF_IBOM|NULL|MTN|MO
ZJ|POS_CUST|POS会员客户|CUST|POSCARD||SYS|SA
ZK|OthMFDE|制程末件检验单|MF_QCFZC|TF_QCFZC||OTH|
ZL|OTH00309|指令书作业|ZL_NO||NULL|OTH|MO
ZM|OthMFDC|制程首件检验单|MF_QCFZC|TF_QCFZC||OTH|
ZN|OthMFDD|制程巡检检验单|MF_QC_XJZC|TF_QC_XJZC||OTH|
ZO|POS|POS BOM表|MF_PBOM|TF_PBOM|T|POS|
ZP|FasRFA|单据属性设置|||RFFJ||NULL
ZQ|INVZQ|礼卷发放作业|MF_ZQ|TF_ZQ||INV|
ZR|InvBLA|暂估退回|MF_ZG|TF_ZG|TBN|INV|PC
ZS|OthMFED|开发试料领料单|MF_TRIAL|TF_TRIAL|||
ZT|POSZT|POS订台|MF_POSZT|TF_POSZT||POS|
ZU|OthMFEB|开发试料单|MF_TRIAL|TF_TRIAL||OTH|
ZV|OthMFEC|开发试料确认单|MF_TRIAL|TF_TRIAL||OTH|
ZW|MTNBOM|维修物料配方输入|MF_WBOM|TF_WBOM|NULL|MTN|MO
ZX|InvZX|智能装箱分析作业|MF_ZX|TF_ZX|THFB|INV|SA
ZY|MrpED|制程规划|MF_ZC|TF_ZC|WTD1|MRP|MO
ZZ|FasECF|BOM物料配方输入|MF_BOM|TF_BOM|RECF||
