BIL_ID|MENU_NAME|REM|MF_TABLE|TF_TABLE|TAB_TITLE
QN|MrpFU|退料检验单|MF_QC|TF_QC|检验单表头档
QP|InvFI|进货检验单|MF_QC|TF_QC|检验单表头档
QQ|OthAMB|制令生产日报表|MF_SC_ZG|TF_SC_ZG|制令日报表头库(中嘉)
QR|MrpFV|领料检验单|MF_QC|TF_QC|检验单表头档
QS|InvAC|询价单|MF_QTS|TF_QTS|询价/报价表头档
QT|MrpFO|托工检验单|MF_QC|TF_QC|检验单表头档
QU|MTNQC|维修产品检测|MF_MTNQC|TF_MTNQC|维修产品检测主表
QX|MrpFEH|巡检记录单|MF_QC_XJ|TF_QC_XJ|巡检记录单表头库
QY|MrpFEC|首件检验单|MF_QC_SJ|TF_QC_SJ|首件检验表头库
QZ|MrpFL|制程检验单|MF_QC|TF_QC|检验单表头档
R0|MonCA|应收收票|MF_CHK|TF_CHK|应收付票据主库
R1|MonCA|应收托收|MF_CHK|TF_CHK|应收付票据主库
R2|MonCA|应收兑现|MF_CHK|TF_CHK|应收付票据主库
R3|MonCA|应收退票|MF_CHK|TF_CHK|应收付票据主库
R4|MonCA|应收作废|MF_CHK|TF_CHK|应收付票据主库
R5|MonCA|应收还票|MF_CHK|TF_CHK|应收付票据主库
R6|MonCA|应收质押|MF_CHK|TF_CHK|应收付票据主库
R7|MonCA|应收撤票|MF_CHK|TF_CHK|应收付票据主库
R8|MonCA|应收贴现|MF_CHK|TF_CHK|应收付票据主库
R9|MonCA|应收转付|MF_CHK|TF_CHK|应收付票据主库
RA|MonCA|应收呆帐|MF_CHK|TF_CHK|应收付票据主库
RB|OTH00415|气立维修结案单|MF_RO|TF_RO1|NULL
RD|SgtHD|信用状押汇作业|MF_LCR|TF_LCR|信用状赎单表头库
RE|TRDCD|遠期信用狀贖單作業|MF_LCR|TF_LCR|信用状赎单表头库
RF|OthGGEC6|XRF检验单|XRF_GGEC||XRF检验库
RG|DRPRG|返利单|MF_RG|TF_RG|返利主表
RJ|MojAN|自制模具入库单|MF_RK_M|TF_RK_M|自制模具入库表头资料库
RL|SgtFD|即期信用状赎单作业|MF_LCR|TF_LCR|信用状赎单表头库
RM|MrpAM|请制单|MF_RM|TF_RM|请制单表头
RN|MrpAMA|自制品独立转单|MF_RM|TF_RM|请制单表头
RO|OTH00407|气立维修/退休单|MF_RO|TF_RO|NULL
RP|MrpALC|采购商品转单|MF_SCPO|TF_SCPO|缺料表表头档
RR|MTNRR|维修退件单|MF_RCV|TF_RCV|维修收件单表头
RS|SebAG|自制设备入库单|MF_RK_S|TF_RK_S|自制设备入库表头资料库
RT|MonAA|收款单|TF_MON|TC_MON|收付款冲帐库
RV|MTNRV|维修收件单|MF_RCV|TF_RCV|维修收件单表头
RW|MrpERW|批次生产日报|MF_RW|TF_RW2|批次生产日报表头
S0|SebAEA|设备完修单[内修]|MF_RX_S|TF_RX_S|设备完修单表头
S1|SvsBA|领/退料单|MF_MAT|TF_MAT|领料表头
S2|SvsAA|修理单录入|MF_INP|TF_INP|修理单
S3|SvsEA|派工单|MF_PG|TF_PG|派工单
S4|SebACA|设备维修计划[内修]|MF_WJ_S|TF_WJ_S|设备维修计划表头
S7|MojAL|模具请购单|MF_SQ_FX|TF_SQ_FX|资产/设备/模具请购单表头资料库
S8|SebAO|设备请购单|MF_SQ_FX|TF_SQ_FX|资产/设备/模具请购单表头资料库
S9|FixAF|固定资产请购单|MF_SQ_FX|TF_SQ_FX|资产/设备/模具请购单表头资料库
SA|InvCA|销货单|MF_PSS|TF_PSS|进销货表头档
SB|InvCB|销货退回|MF_PSS|TF_PSS|进销货表头档
SC|SgtBE|余料结转申请|MF_LC_SGT|TF_LC_SGT|余料结转单表头库
SD|InvCC|销货折让|MF_PSS|TF_PSS|进销货表头档
SE|ATTN07|业务月奖金|MF_SM|TF_SM|业务月奖金计算程式表头档
SF|InvBUB|收料计划分析|MF_SF|TF_SF|收料计划分析表头库
SG|SebAA|设备购入单|MF_GR_S|TF_GR_S|设备购入单表头
SH|InvTRDC|装船通知单|MF_SHIP|TF_SHIP|装船通知单资料库
SI|SebADB|设备维修单[委外]|MF_WX_S|TF_WX_S|设备维修单表头
SJ|WagFI|业务员奖金核发作业|MF_SJ|TF_SJ|业绩奖金核发表头档
SK|SebAH|设备启用单|MF_QY_S|TF_QY_S|设备启用单表头
SL|InvBU|收料计划单|MF_SL_NX|TF_SL_NX|收料计划单表头档(南星专案)
SM|SgtAB|合同耗料表|MF_BOM_SGT|TF_BOM_SGT|合同耗料表表头
SN|SebADA|设备维修单[内修]|MF_WX_S|TF_WX_S|设备维修单表头
SO|InvAD|受订单|MF_POS|TF_POS|采购受订表头档
SP|MrpAL|缺料表|MF_SCPO|TF_SCPO|缺料表表头档
SQ|InvAQ|请购单|MF_SQ|TF_SQ|请购单表头资料库
SR|InvAE|受订退回|MF_POS|TF_POS|采购受订表头档
SS|MrpALA|缺料调拨维护|MF_SCPO1|TF_SCPO1|缺料调拨维护表头
SV|WagDB|薪资切制凭证作业|MF_SV|TF_SV|薪资传票表头档
SW|MrpAGC|非生产领料申请单|MF_SQD|TF_SQD|非生产领料申请单表头库
SX|SebAF|设备停用单|MF_ST_S|TF_ST_S|设备停用单表头
SY|SebAEB|设备完修单[委外]|MF_RX_S|TF_RX_S|设备完修单表头
SZ|SebACB|设备维修计划单[委外]|MF_WJ_S|TF_WJ_S|设备维修计划表头
T0|FixT0|固定资产入库单|MF_TI|TF_TI|入库单表头
T1|InvGE|配送退回送检|MF_TI|TF_TI|入库单表头
T2|InvGB|出货送检|MF_TI|TF_TI|入库单表头
T3|InvGC|存货送检|MF_TI|TF_TI|入库单表头
T4|InvGD|销货退回送检|MF_TI|TF_TI|入库单表头
T5|MrpBL|制程送检|MF_TI|TF_TI|入库单表头
T6|MrpBLA|制成品送检|MF_TI|TF_TI|入库单表头
T7|MrpBLB|托工送检|MF_TI|TF_TI|入库单表头
T8|MrpBLC|退料送检|MF_TI|TF_TI|入库单表头
T9|MrpBLD|领料送检|MF_TI|TF_TI|入库单表头
TA|InvFR|销货退回验收单|MF_TY|TF_TY|验收单表头
TB|MrpBF|托外加工缴回单|MF_TB|TF_TB|托外加工缴回单表头档
TC|MrpBR|托工退回单|MF_TC|TF_TC|托外加工退回单表头
TD|INVTRAD|贸易资料|TRAD_MTH||贸易库
TE|MrpBX|切割试算单|MF_TE|TF_TE|切割试算单表头
TF|MrpHSC|期初托工单|MF_TW|TF_TW|托外加工单表头档
TG|WagDV|退休提拨切制凭证作业|MF_TG|TF_TG|退休金提拨切制传票表头档
TH|InvFQ|存货验收单|MF_TY|TF_TY|验收单表头
TI|InvGA|进货送检|MF_TI|TF_TI|入库单表头
TJ|DrpTJ|DRP调价单|MF_TJ|TF_TJ|DRP调价档
TK|InvFP|出货验收单|MF_TY|TF_TY|验收单表头
TL|WAGDR|退休金提拨单|MF_TX|TF_TX|退休金计算作业表头档
TM|MrpBU|退料验收单|MF_TY|TF_TY|验收单表头
TN|MrpBB|领料验收单|MF_TY|TF_TY|验收单表头
TO|MrpBK|托外缴回验收单|MF_TY|TF_TY|验收单表头
TP|MrpBN|生产缴库验收单|MF_TY|TF_TY|验收单表头
TQ|MrpBO|制程生产验收单|MF_TY|TF_TY|验收单表头
TR|MrpER|异常通知单|TZERR|TZERR|异常通知单
TS|WagBC|人员调薪作业|MF_TS|TF_TS1|全员调薪表头
TT|DRPTT|DRP批次调价单|MF_TT|TF_TT|DRP批次调价单
TU|PosAFB|礼券发售单|POSTK0|POSTK1|礼品券发售单表头
TV|MrpHSB|期初生产通知单|MF_TZ|TF_TZ|生产/领料通知单表头
TW|MrpBE|托外加工单|MF_TW|TF_TW|托外加工单表头档
TX|MonCC45|批次贴现|MF_TCHK|TF_TCHK|批次票据处理库
TY|InvFB|进货验收单|MF_TY|TF_TY|验收单表头
TZ|MrpEE|生产通知单|MF_TZ|TF_TZ|生产/领料通知单表头
U1|SgtAGE1|托工转受订|MF_ZD|TF_ZD|三角贸易转单作业表头档
U2|SgtAGF1|销货转托工缴回|MF_ZD|TF_ZD|三角贸易转单作业表头档
U3|SgtAGG1|托工领/补料转进货|MF_ZD|TF_ZD|三角贸易转单作业表头档
U4|SgtAGH1|进货退回转托工退料|MF_ZD|TF_ZD|三角贸易转单作业表头档
UA|FixPD|固定资产盘点单|MF_PD|TF_PD|固定资产盘点作业表头
UB|MrpFC|模具还回单|MF_MU|TF_MU|模具领用表头库
UC|PRECUST|售前客户|PRE_CUST||售前客户档
UF|MrpFD|模具报废单|MF_MU|TF_MU|模具领用表头库
UG|SebBBD|设备保养记录单|MF_BYJL|TF_BYJL|设备保养记录单表头
UH|SebBBE|设备异常报告单|MF_SBYCBG|TF_SBYCBG|设备异常报告单表头
UL|MrpFB|模具领用单|MF_MU|TF_MU|模具领用表头库
V5|INVV5|洗护开卡作业|MF_WPE|TF_WPE|NULL
VA|AccAA|审核凭证|VHED|VDTL|传票主库
VB|WagBMB|请假登录单|MF_VC||假单登录表头档
VC|MngBDB|请假登录单|MF_VC||假单登录表头档
VD|AccAB|抵销凭证|VHED|VDTL|传票主库
VF|AccAB|现金付款|VHED|VDTL|传票主库
VG|AccAB|更正凭证|VHED|VDTL|传票主库
VH|AccAB|一般凭证|VHED|VDTL|传票主库
VI|MrpEL|制程生产中间入库|MF_MV||制程转移单表头
VK|AccAOA|开帐凭证|VHED|VDTL|传票主库
VS|AccAB|现金收款|VHED|VDTL|传票主库
VT|AccAB|调整凭证|VHED|VDTL|传票主库
VZ|AccAB|转帐凭证|VHED|VDTL|传票主库
W0|MngCA|每日出勤登录|TF_KQ||每日出勤状况明细表
W1|WagCB|薪资调整异动登录|TF_SZTZ||薪资变动档
W2|MngBA|考勤异动资料登录|TF_KQTZ||考勤变动档
WA|WagBA|人事基本资料|MF_YG||人事薪资主库
WI|InvDBC|WI 盘点单|MF_WI|TF_WI|WIP 表头档 
WJ|WagPJ|批次请假单|MF_PJ|TF_PJ|批次请假单
WL|DRPWL|物流提单|MF_WL|TF_WL|物流提货单
WM|MrpEW|手工维护制令单作业|MF_WM|TF_WM|手工维护制令单作业表头档
WP|WagBBB|制程数量输入|MF_WPQTY|TF_WPQTY|制程数量输入表头库
WQ|WagCCD|订单数量核发|MF_WQ|TF_WQ|订单数量输入表头
WR|MrpEG|生产日报表|MF_WR|TF_WR|生产日报表头
WS|MrpAGE|报废申请单|MF_SQD|TF_SQD|非生产领料申请单表头库
WT|MrpBEA|批次托工单|MF_WT||批次托工单表头
WW|INVWW|POS交班|MF_POSJB||POS交班表
WX|MrpAGF|非生产退料申请单|MF_SQD|TF_SQD|非生产领料申请单表头库
X1|CardMng|忘打卡|TF_SKTZ||忘打卡/未打卡异动输入档
X2|CardMng|未打卡|TF_SKTZ||忘打卡/未打卡异动输入档
XA|InvXA|生产领料[存货]|MF_IJ|TF_IJ|调整主库
XB|MrpAGA|非生产领料|MF_IJ|TF_IJ|调整主库
XC|InvXC|成品缴库[存货]|MF_IJ|TF_IJ|调整主库
XD|InvXB|生产退料[存货]|MF_IJ|TF_IJ|调整主库
XE|MrpAGG|非生产退料|MF_IJ|TF_IJ|调整主库
XF|MrpAGH|报废单[入废品仓]|MF_IJ|TF_IJ|调整主库
XG|InvDEB|月初标准成本调整单|MF_IJ|TF_IJ|调整主库
XH|DrpXH|期初调整单|MF_IJ|TF_IJ|调整主库
XJ|InvDEE|库存报废单|MF_IJ|TF_IJ|调整主库
XK|INVXK|非生产补料单|MF_IJ|TF_IJ|调整主库
XM|SebCA|设备维修领料单|MF_IJ|TF_IJ|调整主库
XN|SebCB|设备维修退料单|MF_IJ|TF_IJ|调整主库
XO|OthMFDJ|模具变更作业|MF_BG_MOD||模具变更作业(麦丰)
XQ|InvAFA|采购需求分析|MF_XQ|TF_XQ|采购需求分析表头
XY|InvJC|协议信用单据|MY_XY||协议单
XZ|SYSSZ|信用调整|CUST_XYTZ||客户信用调整库
Y1|OthNJFSA|工程预算清单|MF_GCYS|TF_GCYS|工程预算清单表头库
Y2|OthNJFSB|工程预算调整单|MF_YSTZ|TF_YSTZ|工程预算调整单表头库
Y3|OthDFNA|科目预算调整单|MF_ABGT|TF_ABGT|NULL
Y4|OthSHFJE|报价单(上海通用风机)|MF_FJBJ|TF_FJBJ|NULL
YA|OTHBPG|气立异常处理单|YA_EXCEP||NULL
YB|InvIH|验收退回单|MF_TY|TF_TY|验收单表头
YC|DRPYC|一般要货申请|MF_DYH|TF_DYH|要货(退货)申请单表头
YD|OTHBPI|气立客户诉愿单|YD_COMP|T|NULL
YE|OTH00393|气立特采单|YA_YP||NULL
YF|AccAB|银行付款|VHED|VDTL|传票主库
YG|DrpYG|客户预定单|MF_YD|TF_YD|客户预订单-表头
YH|DrpYH|分销要货申请单|MF_DYH|TF_DYH|要货(退货)申请单表头
YI|DrpYI|分销退货申请|MF_DYH|TF_DYH|要货(退货)申请单表头
YJ|FixYJ|固定资产验收退回单|MF_TY|TF_TY|验收单表头
YK|MrpBJ|托工验收退回单|MF_TY|TF_TY|验收单表头
YN|DRPYN|新品要货申请|MF_DYH|TF_DYH|要货(退货)申请单表头
YO|MrpBHO|制程验收退回|MF_TY|TF_TY|验收单表头
YP|MrpBH|制成品验收退回单|MF_TY|TF_TY|验收单表头
YQ|MrpEO|异常请购申请单|MF_YQ|TF_YQ|异常请购申请单表头数据库
YR|DrpYR|要货退回申请单|MF_DYH|TF_DYH|要货(退货)申请单表头
YS|AccAB|银行收款|VHED|VDTL|传票主库
YT|MngBC|人员调班作业|MF_YT|TF_YT|人员调班表头
YU|InvCAI|销售预测单|MF_YU|TF_YU|预测单表头库
YX|INVCBA|销货退回申请单|MF_DYH|TF_DYH|要货(退货)申请单表头
YZ|MrpFER|验证记录单|MF_YZ_QC||验证记录单
Z0|SgtAGI1|销货转入库|MF_ZD|TF_ZD|三角贸易转单作业表头档
Z1|SgtAGA1|受订转采购|MF_ZD|TF_ZD|三角贸易转单作业表头档
Z2|SgtAGB1|采购转受订|MF_ZD|TF_ZD|三角贸易转单作业表头档
Z3|SgtAGC1|销货转进货|MF_ZD|TF_ZD|三角贸易转单作业表头档
Z4|SgtAGD1|进货转销货|MF_ZD|TF_ZD|三角贸易转单作业表头档
Z5|SgtAGA2|受订转采购再转受订|MF_ZD|TF_ZD|三角贸易转单作业表头档
Z6|SgtAGB2|采购转受订再转采购|MF_ZD|TF_ZD|三角贸易转单作业表头档
Z7|SgtAGC2|销货转进货再转销货|MF_ZD|TF_ZD|三角贸易转单作业表头档
Z8|SgtAGD2|进货转销货再转进货|MF_ZD|TF_ZD|三角贸易转单作业表头档
Z9|SgtAGJ1|验退转销退|MF_ZD|TF_ZD|三角贸易转单作业表头档
ZA|TRDBC|销售确认单|MF_ZA|TF_ZA|销售确认单表头
ZB|InvBLB|暂估回冲|MF_ZG|TF_ZG|暂估单表头库
ZC|TaxCA|进项凭证输入|MF_METH|MF_METH|进项凭证主库
ZD|TaxDD|零税率清单输入|MF_ZERO|TF_ZERO|销项凭证零税率清单库
ZE|TaxBA|销项凭证输入|MF_SALE|MF_SALE|销项凭证主库
ZF|MTNZF|故障配方|MF_FBOM|TF_FBOM|故障配方表头
ZG|InvBL|暂估单|MF_ZG|TF_ZG|暂估单表头库
ZH|MrpZY|制程不合格转移单|MF_ZY|TF_ZY|制程不合格量转移单主库
ZI|MTNZI|安装配方|MF_IBOM|TF_IBOM|安装配方(表头)
ZJ|POS_CUST|POS会员客户|CUST|POSCARD|客户/厂商库
ZK|OthMFDE|制程末件检验单|MF_QCFZC|TF_QCFZC|制程首件检验单表头
ZL|OTH00309|指令书作业|ZL_NO||指令书作业
ZM|OthMFDC|制程首件检验单|MF_QCFZC|TF_QCFZC|制程首件检验单表头
ZN|OthMFDD|制程巡检检验单|MF_QC_XJZC|TF_QC_XJZC|NULL
ZO|POS|POS BOM表|MF_PBOM|TF_PBOM|POS配方表头
ZQ|INVZQ|礼卷发放作业|MF_ZQ|TF_ZQ|礼券发放单表头
ZR|InvBLA|暂估退回|MF_ZG|TF_ZG|暂估单表头库
ZS|OthMFED|开发试料领料单|MF_TRIAL|TF_TRIAL|开发试料单表头
ZT|POSZT|POS订台|MF_POSZT|TF_POSZT|POS订台单表头
ZU|OthMFEB|开发试料单|MF_TRIAL|TF_TRIAL|开发试料单表头
ZV|OthMFEC|开发试料确认单|MF_TRIAL|TF_TRIAL|开发试料单表头
ZW|MTNBOM|维修物料配方输入|MF_WBOM|TF_WBOM|维修配方主表
ZX|InvZX|智能装箱分析作业|MF_ZX|TF_ZX|装箱分析作业表头档
ZY|MrpED|制程规划|MF_ZC|TF_ZC|制程规化表头
ZZ|FasECF|BOM物料配方输入|MF_BOM|TF_BOM|Mrp商品物料表表头档
